id_guide,name_desp,dir_derp,name_rec,dir_rec,date,heigth,presio,city_desp,city_rec,consecutivo,n1,n2,n3,n4
1,Rose Black,49 Laurel Trail,Aaron Diaz,70389 Bayside Pass,1/18/2014,45.709,$13314.20,Wisconsin,North Dakota,6084070,24830,26993,67047,45170
2,Albert Webb,27470 Lunder Alley,Justin Powell,82454 Burning Wood Crossing,2/16/2014,55.251,$45260.52,North Carolina,Illinois,2821759,26939,37200,86337,72721
3,Alan Anderson,581 Westridge Pass,Heather Weaver,7705 Forster Plaza,11/7/2013,65.72,$84014.34,South Carolina,Tennessee,3345326,40821,34025,34878,54504
4,Nancy Little,01 Corscot Trail,Arthur Freeman,849 Drewry Crossing,4/6/2014,78.069,$54574.22,Montana,Tennessee,3551692,73199,46947,74672,98885
5,Judith Cole,5 Menomonie Terrace,Sandra Mills,40377 Darwin Junction,12/30/2013,74.686,$19989.97,Texas,Arizona,8218579,42577,71970,6083,50922
6,Evelyn Garcia,2 Dahle Parkway,Kenneth Jacobs,5477 Fulton Street,2/23/2014,19.02,$67822.04,New Hampshire,Louisiana,5059306,9279,95037,95943,76047
7,Billy Perry,66943 David Place,Lisa Martinez,33129 Troy Court,4/14/2014,50.934,$88443.49,Hawaii,Illinois,9322252,23892,21664,72720,32831
8,Timothy Ellis,991 Lerdahl Trail,Barbara Murphy,2 Scofield Court,2/10/2014,82.065,$36997.67,New Mexico,Florida,387629,8496,56006,78440,67519
9,Nicholas Kelley,4639 Luster Place,Rose Henry,4 Memorial Avenue,5/10/2014,45.738,$7186.59,Colorado,New Jersey,6522987,66319,63002,41764,76937
10,Joseph Day,85 Hooker Place,Carlos Sims,9 Arizona Crossing,5/18/2014,96.148,$44830.08,North Carolina,Mississippi,391132,76452,3754,45263,26574
11,Juan Butler,500 Badeau Circle,Tina Campbell,30 Algoma Drive,4/10/2014,88.603,$11886.11,Nebraska,Hawaii,4578444,21917,91951,36571,4917
12,Virginia King,86 Lerdahl Terrace,Ann Stanley,3 American Hill,7/16/2014,26.958,$97880.72,Arizona,Wisconsin,4960295,63253,4038,29963,22477
13,Alan Duncan,7 Brentwood Way,Linda Berry,78577 Mesta Court,10/10/2013,51.332,$80905.17,Oklahoma,New Mexico,2875909,12452,49965,35077,16935
14,Tina Mills,4395 Westend Lane,Dennis Daniels,262 Delladonna Crossing,7/4/2014,17.776,$68737.07,Vermont,Illinois,8094418,46963,1069,27086,46791
15,Brenda Powell,265 Moose Court,Carlos Bennett,77727 Graceland Point,11/25/2013,85.072,$38724.53,Kentucky,Massachusetts,1912612,44752,99568,74923,63447
16,Bonnie Kim,3436 Mandrake Drive,Deborah Hunt,2313 Pearson Park,7/27/2014,55.295,$81061.88,Kentucky,New Jersey,5477550,53964,19886,77034,78477
17,Brenda Henry,53 Judy Circle,Patricia Ross,9199 Park Meadow Crossing,1/10/2014,76.735,$69005.88,Maine,Wisconsin,1630096,12888,74101,82376,20153
18,Julia Bennett,7218 Gulseth Road,Janice Hart,427 Autumn Leaf Road,6/4/2014,56.227,$87623.30,Nevada,Georgia,8729979,85293,49020,80022,6272
19,Joshua Ellis,86 Old Gate Plaza,Howard Rogers,8549 Sunbrook Way,2/2/2014,59.772,$86817.63,Hawaii,Connecticut,848441,35591,67618,83553,61065
20,Susan Palmer,6129 Lindbergh Plaza,Nicholas Mitchell,62 Rieder Plaza,10/25/2013,2.653,$59486.63,Ohio,Alabama,5338971,68185,9434,98774,3126
21,Marilyn Franklin,68692 Blackbird Court,Sara Ruiz,71 Lakewood Pass,7/12/2014,86.258,$35329.73,Nevada,Michigan,7274192,28360,72819,95451,50675
22,Peter Rodriguez,7 Bashford Plaza,Jimmy Ray,19 Rowland Terrace,8/14/2013,3.0,$85199.77,Kentucky,Wisconsin,4009343,35263,37088,48081,89977
23,Ruby Montgomery,35108 Pleasure Street,Andrew Harris,46 Sutteridge Drive,8/4/2013,24.27,$44593.51,Vermont,Hawaii,4411323,49891,26630,2182,15938
24,Anne Watson,86 Grim Avenue,Marie Mccoy,8840 Eastlawn Lane,10/22/2013,0.156,$70865.96,New York,Alaska,1442241,8186,10098,46543,88667
25,Carolyn Vasquez,50 Quincy Pass,Julie Stone,6 Hanson Circle,12/11/2013,82.414,$54223.68,Michigan,Delaware,4544337,58058,4603,78973,49114
26,Thomas Stephens,66870 Nancy Circle,Barbara Turner,75 Stone Corner Center,8/8/2014,1.409,$86608.14,Kentucky,Vermont,2376471,24011,72209,37506,44598
27,Teresa Gardner,405 Towne Point,Susan Harper,32328 Hallows Trail,1/26/2014,75.398,$19498.52,Kentucky,Oklahoma,1434694,87306,1447,40980,73210
28,Ernest Palmer,28 Thackeray Junction,Mary Wilson,771 Scoville Point,2/20/2014,84.186,$40274.62,Washington,Alabama,4481289,16365,26091,1999,79312
29,Norma Austin,1 Roth Trail,Ashley Mccoy,0391 Corben Trail,12/7/2013,24.763,$54494.19,Arizona,Texas,9587881,60487,96089,43605,82166
30,Mark Jackson,18 Michigan Circle,Thomas White,58 Derek Drive,4/27/2014,50.234,$91756.41,Tennessee,Minnesota,8560657,92013,67470,81137,57455
31,Benjamin Coleman,4584 Springview Drive,Judy Sims,46 Barnett Point,10/7/2013,54.586,$54317.84,Georgia,Maine,8140763,46260,66759,20649,15436
32,Robert Lewis,65848 Dexter Junction,Ann Stone,185 Reinke Street,7/10/2014,71.932,$12726.79,Kentucky,Idaho,772285,43134,82743,40278,60383
33,Theresa Harvey,0367 Briar Crest Point,Amy Gardner,3 Stephen Park,7/29/2014,43.241,$69562.69,Wisconsin,Illinois,1219488,49929,15976,85056,70297
34,Carolyn Ross,05 Hallows Street,Andrew Greene,95679 Golden Leaf Center,10/21/2013,75.591,$12481.78,Alabama,California,4292663,45617,37320,64253,66186
35,Jacqueline Kelley,506 Cherokee Park,Patricia Sims,24 Manitowish Avenue,10/15/2013,50.888,$94302.10,Rhode Island,Georgia,6812749,95525,68222,50090,9945
36,Timothy Sullivan,56 Summer Ridge Alley,Heather Diaz,154 Darwin Road,10/2/2013,5.471,$76660.06,North Dakota,New Jersey,8565974,34375,56057,78672,9591
37,Susan Ward,9102 Cherokee Center,Diane Stephens,9107 Springview Drive,8/5/2014,97.045,$69307.37,Mississippi,North Carolina,6944411,54954,98456,38402,16088
38,Gregory Payne,3727 Mallory Trail,Terry Alexander,876 Pawling Lane,6/1/2014,13.146,$80836.10,Maryland,Washington,661890,72935,65442,26896,26523
39,Dennis Allen,92 Norway Maple Park,Cheryl Coleman,0 Mitchell Hill,9/23/2013,62.306,$23101.37,Wisconsin,Montana,9595298,79823,33177,79754,48460
40,Russell Baker,5923 West Pass,Keith Dixon,93 Artisan Street,1/28/2014,38.695,$13407.48,Mississippi,Montana,3397256,89571,37365,8557,69666
41,Irene Arnold,118 Division Lane,Tina Brooks,39 Dovetail Crossing,1/21/2014,86.734,$33477.97,Oklahoma,South Carolina,9936023,52791,10814,29733,41238
42,Dorothy Little,60075 Armistice Place,Lawrence Bennett,0089 Randy Crossing,7/20/2014,61.892,$66584.72,Montana,New Jersey,985357,49391,12002,7055,93952
43,Dennis Moore,0142 Luster Lane,Irene Mason,50 Steensland Court,8/5/2013,72.834,$67498.42,Arkansas,Oregon,475974,99660,81885,18388,16752
44,Benjamin Gonzales,278 Eggendart Trail,Rebecca Dunn,2 Ronald Regan Avenue,2/2/2014,73.647,$93603.57,Arizona,Iowa,3108452,82638,55199,89274,71827
45,Jeremy Graham,77787 Prairieview Drive,Ralph Jacobs,3 Meadow Ridge Terrace,6/8/2014,94.655,$15192.63,Louisiana,Oregon,7849399,43178,80096,67385,37148
46,Charles Ruiz,3070 Pierstorff Junction,Cheryl Holmes,86 Orin Park,3/11/2014,93.513,$47702.22,Hawaii,Alabama,7494585,72194,84341,61266,54437
47,Frances Kennedy,93 Westerfield Park,Louis Nichols,27624 Forest Junction,12/18/2013,52.374,$16446.70,Oklahoma,North Dakota,1138038,80630,25105,13397,10543
48,Julie Powell,9218 Sachs Drive,Marie Rice,2 Calypso Plaza,10/22/2013,93.383,$60017.54,Kentucky,Tennessee,9460516,32028,1714,90173,49965
49,Charles Washington,2 Packers Place,Wayne Berry,88470 Del Sol Parkway,1/24/2014,19.756,$70956.53,Rhode Island,Louisiana,2167816,53410,36260,75758,21697
50,Brandon Moore,5 Anderson Circle,Roy Frazier,9324 Manufacturers Center,6/11/2014,18.26,$86607.42,Kansas,Nebraska,9115687,71274,79619,32149,10591
51,Tina Spencer,58454 Esker Pass,Phyllis Coleman,24 Blaine Pass,11/14/2013,76.354,$64685.00,Michigan,Idaho,3930986,5411,68948,3729,52346
52,Aaron James,1338 Monterey Point,Shirley Roberts,4 Main Lane,2/8/2014,54.668,$11840.38,Illinois,Wisconsin,5659027,74442,93210,954,52578
53,Benjamin Matthews,27 Blaine Court,Mildred Austin,1663 Lerdahl Junction,8/11/2013,9.094,$56507.96,Arizona,Indiana,3445219,44884,63956,14590,66657
54,Janet Rodriguez,12 Lakeland Trail,Kathleen Cunningham,371 Walton Alley,1/15/2014,39.347,$6660.18,Kansas,Rhode Island,4488465,81189,94547,9404,91529
55,Jimmy Hughes,48210 Rieder Junction,Steven Stone,04 Towne Place,5/6/2014,65.278,$93639.21,Idaho,Maine,7193255,17476,95919,8615,53991
56,Wanda Bradley,03140 Quincy Street,Ronald Gardner,469 Melvin Street,8/10/2014,40.143,$94692.29,California,Mississippi,6202063,88156,93907,91654,56742
57,Timothy Johnston,1093 Waxwing Avenue,Richard Watson,51 Meadow Valley Pass,6/14/2014,23.129,$62772.58,Kansas,Nevada,643033,46011,45714,68490,45455
58,Jane Gardner,3 Del Mar Lane,Ryan Franklin,41323 Merrick Place,11/2/2013,99.095,$86505.44,Connecticut,Rhode Island,8910751,98242,73074,2121,80963
59,Judy Lane,651 Stuart Avenue,Aaron Armstrong,15 Summer Ridge Hill,7/30/2014,82.615,$8143.90,Iowa,Montana,9289676,97570,68083,90303,53640
60,Elizabeth Parker,3288 Larry Hill,William Gordon,9056 Express Avenue,11/12/2013,19.92,$77853.55,Nebraska,Washington,5119875,32339,36451,33304,92560
61,Louis Mendoza,91 Clyde Gallagher Alley,Diana Rogers,35 Clemons Crossing,9/14/2013,67.605,$72625.21,Nebraska,Arizona,9006280,74797,48299,80422,60017
