id_guide,name_desp,dir_derp,name_rec,dir_rec,date,heigth,presio,city_desp,city_rec,consecutivo,n1,n2,n3,n4
625904,Rose Chavez,1 Shasta Plaza,Margaret Martin,360 Judy Place,2013-10-07,98.29,567,Yountville,Fontana,1,51,6556935,46,66
792475,John Ward,859 Dayton Alley,Amy Cooper,70305 Beilfuss Crossing,2013-10-19,80.2,620,Carlsbad,Watsonville,2,16,6664710,1,7
447480,Jack Dunn,304 Gerald Avenue,Justin Myers,2 Crowley Pass,2014-03-26,83.11,500,Arcadia,Vista,3,30,6808627,62,54
135247,Frances Washington,1 Eagan Lane,Wanda Cunningham,876 Kings Street,2014-01-08,66.19,798,La Habra Heights,Costa Mesa,4,16,6883436,36,42
583332,Mark Hunter,43285 Holmberg Drive,James Kelley,724 Clarendon Street,2014-08-17,26.21,491,Lemon Grove,Point Arena,5,11,6719197,21,74
364235,Jimmy Fernandez,800 Atwood Drive,Nancy Robertson,41 Manufacturers Center,2013-11-13,50.2,584,Chino,Calabasas,6,75,6680773,87,18
574181,Harry Hunt,1 Twin Pines Pass,Paula Morgan,48 Surrey Court,2014-08-28,89.79,755,Menifee,Pinole,7,59,6648114,92,98
347253,Jesse Williamson,83 Artisan Street,Nicole Edwards,46296 Orin Court,2014-08-17,21.36,599,Daly City,King City,8,26,6650210,41,48
201944,Craig Howell,00 Schmedeman Terrace,James Garza,340 Delladonna Pass,2014-06-15,1.37,700,Ojai,El Monte,9,97,6804354,61,87
295473,Jane Morales,967 Harper Road,Janet Russell,4 Brentwood Street,2014-07-01,49.78,744,San Rafael,Watsonville,10,15,6665332,23,74
715597,Mary Medina,97 6th Terrace,Virginia Bradley,85821 Lake View Court,2014-04-01,57.89,712,Sonora,Mount Shasta,11,66,6616538,44,52
602604,Jason Williamson,15 Lillian Center,Benjamin Lawson,43689 Del Mar Parkway,2014-05-17,53.59,689,Walnut Creek,San Juan Bautista,12,95,6584549,45,83
231752,Pamela Stone,92 Nelson Hill,Catherine Richards,86338 Ridge Oak Park,2014-03-09,79.64,643,Petaluma,Arroyo Grande,13,56,6690649,75,7
857234,Jessica Freeman,26 Susan Alley,Eugene Cooper,003 Coleman Junction,2014-05-15,85.13,746,Chula Vista,Los Alamitos,14,76,6697840,80,72
134195,Lawrence White,61822 Lyons Drive,Kathleen Spencer,7046 Macpherson Center,2014-05-24,89.04,648,Rio Dell,Palos Verdes Estates,15,91,6817025,96,68
757217,Nicholas Kelley,39412 Blackbird Avenue,Stephanie Banks,16 Parkside Circle,2013-11-13,7.28,704,California City,Anaheim,16,35,6771809,100,9
102301,Anna Chavez,4 Main Trail,Jimmy Bryant,99 Mifflin Way,2014-07-24,87.36,527,Mendota,Pomona,17,63,6699299,53,82
695965,Mary Lynch,6060 Troy Road,Julia Allen,9 Westport Avenue,2014-04-13,57.39,510,Coachella,Williams,18,12,6651469,37,82
234090,Joan Carr,98069 Shopko Circle,Mark Hamilton,30270 Blue Bill Park Way,2014-03-30,12.89,589,Rosemead,Napa,19,7,6866777,19,2
213261,Willie Elliott,3366 Veith Parkway,Robert Walker,7763 Sutteridge Terrace,2013-10-02,37.06,541,Madera,Portola,20,57,6872043,99,62
851959,Harold Reid,3 Mitchell Circle,Stephen Washington,87504 Doe Crossing Junction,2014-03-06,26.53,639,Fountain Valley,Porterville,21,29,6661107,55,59
422943,Judy Hayes,30576 Delladonna Lane,Johnny Perry,78398 Crescent Oaks Avenue,2014-03-16,27.13,521,Vacaville,Aliso Viejo,22,94,6822614,12,20
298110,Jennifer Rivera,1460 Petterle Drive,James Reynolds,7 Nova Center,2014-08-30,97.53,752,Selma,Westmorland,23,89,6641744,16,12
116925,Ruth Hunter,15 Carioca Center,Karen Montgomery,0940 Hazelcrest Hill,2014-01-12,78.36,501,Morgan Hill,Glendale,24,33,6577066,11,61
114306,Amy Brooks,1686 Bluestem Avenue,Juan Medina,96591 Harbort Plaza,2014-07-03,45.75,622,Lake Elsinore,Arroyo Grande,25,68,6558710,37,60
578823,Terry Adams,2450 Waubesa Terrace,Jeremy Alvarez,7989 Old Shore Circle,2013-12-12,77.7,567,Coronado,San Juan Bautista,26,10,6834493,91,40
554210,Craig Grant,3558 Hansons Plaza,Marilyn Hamilton,288 Blackbird Pass,2013-10-14,16.1,665,Gonzales,Pleasant Hill,27,14,6852993,66,1
427642,Bruce Harvey,2340 Barby Plaza,Betty Jordan,27394 Green Ridge Terrace,2014-03-15,49.87,641,Clayton,Lindsay,28,54,6749897,2,92
739194,Anne Perkins,7636 Little Fleur Crossing,Bonnie Shaw,5 Ryan Parkway,2013-12-11,26.58,749,Folsom,Menifee,29,20,6597499,18,92
366375,Julia Greene,2 Bunting Road,Kelly King,37 Scott Lane,2013-09-25,50.66,619,Lake Elsinore,Gustine,30,82,6719961,45,81
524845,Janet Reynolds,52843 Bay Plaza,Cheryl Kennedy,1 Hudson Junction,2014-02-21,95.16,493,Lathrop,Palm Springs,31,70,6746156,25,71
890198,Raymond Johnston,101 John Wall Parkway,Louis Parker,367 Upham Hill,2013-10-14,75.7,723,Palos Verdes Estates,Gilroy,32,5,6677936,5,100
125885,Shirley Day,90 Bunting Parkway,Eric Stanley,53 Sloan Lane,2014-03-05,12.84,606,Chico,San Ramon,33,97,6765988,85,2
