id_guide,name_desp,dir_derp,name_rec,dir_rec,date,heigth,presio,city_desp,city_rec,consecutivo,n1,n2,n3,n4
180243,Janet Hanson,32522 Loeprich Place,Shawn Martinez,75727 Mallory Park,2014-04-08,26.56,794,Burlingame,Bellflower,1,28,6721244,60,20
887383,Todd Andrews,00928 Sheridan Circle,Timothy Fowler,95 Hintze Terrace,2014-08-30,3.29,657,Delano,Newark,2,27,6813651,91,86
762802,Kenneth Simpson,3438 Maryland Way,Julia Jacobs,44568 Monica Place,2013-11-12,12.22,738,Carmel-by-the-Sea,Rancho Mirage,3,11,6860896,13,20
177448,Jesse Roberts,20535 Sunfield Park,Patrick Chapman,28 Hazelcrest Trail,2014-04-03,88.14,715,Long Beach,Pinole,4,65,6861964,97,83
264710,Daniel Howell,65302 Harbort Point,Ernest Oliver,283 5th Hill,2014-08-03,34.07,485,Loomis,Goleta,5,2,6757610,84,82
797169,Alan Richards,7541 Hanson Park,Gerald Myers,847 Spaight Trail,2013-11-17,60.37,682,Greenfield,West Sacramento,6,85,6632135,18,5
290344,Barbara Ward,46 Pankratz Terrace,Raymond Hart,6 Nobel Place,2014-01-08,20.86,754,Colma,Desert Hot Springs,7,45,6778990,71,81
761106,Ernest Mccoy,20753 Myrtle Place,Kimberly Chapman,03186 Sheridan Place,2013-12-07,67.97,602,Chowchilla,Placerville,8,44,6645039,16,48
883782,Willie Robinson,60384 Forest Street,Harry Reid,340 Crowley Park,2014-06-15,21.97,776,Menlo Park,Twentynine Palms,9,47,6893540,71,13
233431,Angela Alvarez,73 Farwell Alley,Martha Ortiz,407 Logan Street,2014-06-26,30.51,605,South Gate,Los Angeles,10,74,6754295,25,56
771683,Donna Henry,96398 Golf Course Terrace,David Sullivan,3 Tennessee Road,2014-07-12,78.58,759,Murrieta,El Cerrito,11,19,6831201,50,76
103669,Terry Robinson,27794 Luster Circle,Lois Greene,881 Declaration Place,2013-10-30,95.91,486,Fort Bragg,San Bruno,12,8,6804974,14,71
320802,James Ryan,6 Northport Street,Christina Palmer,9 Bayside Hill,2013-12-14,99.02,765,Huron,Sand City,13,26,6776964,30,50
635641,Harold Hernandez,47 Atwood Terrace,Paula Fox,4 Elmside Crossing,2014-01-10,92.79,555,Dublin,San Juan Bautista,14,61,6781514,22,84
436428,Amanda Gomez,19416 Summer Ridge Alley,Paula Mccoy,5 Hudson Pass,2014-07-28,48.39,560,Clearlake,Marina,15,78,6633833,33,39
380540,Matthew Reid,193 Spohn Center,Randy Stone,22714 Stephen Court,2013-12-21,62.22,497,Mendota,Ferndale,16,89,6723033,99,74
560645,Terry Carpenter,31 Blue Bill Park Alley,Carolyn Hamilton,6425 Washington Terrace,2013-10-31,28.81,489,Alameda,Beaumont,17,16,6822393,71,79
551719,Ashley Carpenter,0430 Basil Court,Bruce Richardson,1452 Spenser Point,2013-12-07,66.0,546,Ferndale,Escondido,18,3,6648321,49,46
766321,Bobby Bell,1 Clarendon Junction,Annie Weaver,137 Messerschmidt Terrace,2014-05-25,61.25,647,Solvang,La Palma,19,86,6581031,80,87
764688,Melissa Castillo,9695 Farragut Terrace,Louis Chavez,485 Prairie Rose Court,2013-10-31,98.68,517,Aliso Viejo,Bell Gardens,20,73,6764433,74,90
259574,Harry Daniels,1838 Bay Place,Phyllis Morgan,130 Knutson Way,2013-12-12,30.1,472,Weed,Rancho Cucamonga,21,91,6842844,56,14
886074,Roy Weaver,8 Badeau Street,Michelle Ray,76895 Pennsylvania Court,2013-10-16,5.21,594,Moreno Valley,Signal Hill,22,92,6699347,92,75
625549,Jonathan Nguyen,57 Grasskamp Court,Victor Washington,43303 Charing Cross Circle,2013-11-16,35.16,493,Hollister,Mission Viejo,23,12,6606155,68,22
329424,Henry Butler,383 Daystar Plaza,Henry Mason,2007 Buena Vista Park,2014-05-30,97.14,799,Sutter Creek,Coachella,24,49,6879915,82,48
694867,Janet Porter,041 Riverside Circle,Anthony Martinez,38442 Dapin Trail,2013-10-15,46.52,759,Fowler,Cathedral City,25,41,6834759,90,21
541620,Irene Lawrence,3576 Briar Crest Alley,Christine Hunter,3722 Northview Plaza,2014-01-10,34.91,765,Lemoore,Poway,26,100,6745649,42,23
466284,Aaron Johnson,14 Dakota Pass,Earl Kim,0 Cambridge Parkway,2013-11-22,62.85,680,Santa Rosa,Alameda,27,72,6687834,95,76
796884,Tammy Edwards,72 Arapahoe Avenue,Rebecca Lawson,26 Jackson Road,2013-12-29,45.35,730,Duarte,San Juan Capistrano,28,84,6642582,58,2
199163,Wanda Meyer,9 Red Cloud Point,Earl Long,19875 Ryan Alley,2014-06-22,98.61,721,Desert Hot Springs,Irwindale,29,86,6753077,16,18
118733,Gloria Gilbert,4271 Rockefeller Point,Louise Jordan,02 Dunning Way,2014-05-21,2.38,724,Redding,Arvin,30,56,6755807,69,31
278380,Frank Hamilton,6 Towne Hill,Cynthia Hall,465 Park Meadow Terrace,2013-09-27,72.41,740,Arvin,Monte Sereno,31,17,6776219,22,6
761665,Brandon Matthews,3715 Bartillon Alley,Richard Hunter,62 Scoville Terrace,2014-04-15,15.94,764,Oroville,Dixon,32,33,6574315,1,63
118304,Wanda Sanders,75556 Onsgard Way,Annie Matthews,39239 Hallows Park,2014-01-13,62.87,643,San Carlos,San Carlos,33,48,6551742,93,34
226349,Janet Ryan,7 Vermont Center,Carl Watson,331 Schurz Junction,2013-10-29,96.28,794,Mammoth Lakes,San Francisco,34,73,6839410,34,46
670559,Irene Morales,54617 Logan Street,Wayne Day,448 Waubesa Alley,2014-09-04,21.47,771,Sebastopol,Fortuna,35,73,6782659,93,37
480393,Kathy Gomez,24308 Logan Drive,Earl Taylor,7 Northland Trail,2014-06-07,23.64,520,Hollister,Cotati,36,17,6762947,15,27
630878,Andrew Woods,84490 Ronald Regan Parkway,Pamela Rice,0567 Arkansas Lane,2013-10-20,18.53,774,El Segundo,Carmel-by-the-Sea,37,9,6628270,56,14
284931,Tina Chapman,7 6th Place,Linda Parker,8 Goodland Hill,2013-12-11,81.34,663,Signal Hill,Big Bear Lake,38,2,6558809,99,2
444116,Marie Jacobs,7 Montana Terrace,Ronald Webb,647 Del Sol Point,2014-03-07,89.49,524,Rancho Mirage,Pico Rivera,39,38,6580194,74,46
668450,Jason James,078 Spenser Center,Heather Graham,6 Sunfield Place,2014-04-10,51.82,752,Seaside,San Bruno,40,90,6881079,26,94
334109,Andrew Murphy,35024 Dayton Circle,Evelyn Frazier,9 Thompson Trail,2014-01-30,63.87,576,Palm Desert,Los Altos Hills,41,100,6785210,19,63
